"Address","PostCode","Price","PropertyType"
"8 ATHGOE RD, SHANKILL","D18",495000,"SecondHand Property"
"91 AYLMER RD, NEWCASTLE","D22",3e+05,"SecondHand Property"
"Apartment 51, Ardilaun Court, Sybil Hill Road","D5",330396,"NewProperty"
"APT 17 BLOCK A, THE GLEN, BETTYGLEN ","D5",225000,"SecondHand Property"
"APT 197, THE HARDWICKE, CHURCH ST ","D7",230000,"SecondHand Property"
"10 CASTLEGATE MEWS, ADAMSTOWN, LUCAN","CoDublin",296000,"SecondHand Property"
"102 MERIDIAN COURT, ROYAL CANAL PARK, RATOATH RD 5","D7",3e+05,"SecondHand Property"
"12 GLENBEIGH RD, BLACKHORSE AVE, C RD ","D7",350000,"SecondHand Property"
"13 MERTON DR, RANELAGH, ","D6",922000,"SecondHand Property"
"142 ASHLAWN PARK, BALLYBRACK, ","CoDublin",362000,"SecondHand Property"
"15 DEERHAVEN PARK, CLONEE, 5","D15",285000,"SecondHand Property"
"18 CANNONBROOK AVE, LUCAN","CoDublin",325000,"SecondHand Property"
"18 MOUNT ANVILLE LAWN, GOATSTOWN, 4","D14",801000,"SecondHand Property"
"2 HOLYWELL LAWW, FELTRIM","CoDublin",314000,"SecondHand Property"
"2 SHANGAN CRESCENT, BALLYMUN, ","D9",210000,"SecondHand Property"
"23 ALLENDALE DR, CLONSILLA, 5","D15",445000,"SecondHand Property"
"23 CARRIGLEA WALK, FIRHOUSE, 4","D24",422000,"SecondHand Property"
"24 Beechwood Heath, Beechwood, Hansfield","D15",303965,"NewProperty"
"25 Marrsfield Avenue, Belltree, Clongriffin","D13",352422.9,"NewProperty"
"25 Temple Woods, Greenhill Road, 4","D24",321585.9,"NewProperty"
"273 RATOATH RD, CABRA, ","D7",295000,"SecondHand Property"
"30 GRANGEMORE RD, DOWAGHMEDE, 3","D13",345000,"SecondHand Property"
"31 THOMAS HAND ST, SKERRIES","CoDublin",277000,"SecondHand Property"
"32 larkfield heath, clay farm, leopardstown","D18",555066.07,"NewProperty"
"37 Stillorgan Gate, Upper Kilmacud Road, Stillorgan","CoDublin",405286,"NewProperty"
"38 Beechwood Heath, Beechwood, Hansfield","D15",321585.9,"NewProperty"
"4 Kings Hall, Malahide","CoDublin",229074.88,"NewProperty"
"4 WAVENEY, HARBOUR RD, HOWTH 3","D13",295000,"SecondHand Property"
"40 beechwood heath, beechwood, hansfield","D15",437665.19,"NewProperty"
"40 BUSHFIELD DR, CLONDALKIN, 2","D22",335000,"SecondHand Property"
"41 THE HOLLY, ROCKFIELD, DUNDRUM 4","D16",360000,"SecondHand Property"
"42 PARK BLVD, TYRELLSTOWN, 5","D15",240000,"SecondHand Property"
"45 MARSHAM COURT, STILLORGAN","CoDublin",540000,"SecondHand Property"
"47 DELHURST TERRACE, ONGAR PARK, 5","D15",275000,"SecondHand Property"
"50 PORTERSFIELD, CLONSILLA, 5","D15",266500,"SecondHand Property"
"52 Brighton Wood, Brighton Road, Foxrock","CoDublin",682819,"NewProperty"
"56 HOME FARM RD, DRUMCONDRA, ","D9",650000,"SecondHand Property"
"6 AYREFIELD AVE, AYRFIELD EST, COOLOCK 3","D13",247500,"SecondHand Property"
"8 St. Helen's Chase, St. Helen's, Adamstown","CoDublin",264317,"NewProperty"
